From Id	To Id	Tx	Meta
4	1	0	 TCP 49153 > 1000 SYN Seq=0 Ack=0 Win=65535
1	0	0.00100464	 TCP 49153 > 1000 SYN Seq=0 Ack=0 Win=65535
0	2	0.011051	 TCP 49153 > 1000 SYN Seq=0 Ack=0 Win=65535
2	0	0.0120557	 TCP 1000 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
0	1	0.0130603	 TCP 1000 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
1	4	0.0231067	 TCP 1000 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
4	1	0.0241114	 TCP 49153 > 1000 ACK Seq=1 Ack=1 Win=32768
4	1	0.0241157	 TCP 49153 > 1000 ACK Seq=1 Ack=1 Win=32768
1	0	0.0251157	 TCP 49153 > 1000 ACK Seq=1 Ack=1 Win=32768
1	0	0.0251629	 TCP 49153 > 1000 ACK Seq=1 Ack=1 Win=32768
0	2	0.0351589	 TCP 49153 > 1000 ACK Seq=1 Ack=1 Win=32768
0	2	0.0356349	 TCP 49153 > 1000 ACK Seq=1 Ack=1 Win=32768
2	0	0.0366821	 TCP 1000 > 49153 ACK Seq=1 Ack=537 Win=32768
0	1	0.0376864	 TCP 1000 > 49153 ACK Seq=1 Ack=537 Win=32768
1	4	0.0477296	 TCP 1000 > 49153 ACK Seq=1 Ack=537 Win=32768
4	1	0.0487339	 TCP 49153 > 1000 ACK Seq=537 Ack=1 Win=32768
4	1	0.0487811	 TCP 49153 > 1000 ACK Seq=1073 Ack=1 Win=32768
1	0	0.0497811	 TCP 49153 > 1000 ACK Seq=537 Ack=1 Win=32768
1	0	0.0502531	 TCP 49153 > 1000 ACK Seq=1073 Ack=1 Win=32768
0	2	0.0602531	 TCP 49153 > 1000 ACK Seq=537 Ack=1 Win=32768
0	2	0.0607251	 TCP 49153 > 1000 ACK Seq=1073 Ack=1 Win=32768
2	0	0.0617723	 TCP 1000 > 49153 ACK Seq=1 Ack=1609 Win=32768
0	1	0.0627766	 TCP 1000 > 49153 ACK Seq=1 Ack=1609 Win=32768
1	4	0.0728198	 TCP 1000 > 49153 ACK Seq=1 Ack=1609 Win=32768
4	1	0.0738241	 TCP 49153 > 1000 ACK Seq=1609 Ack=1 Win=32768
4	1	0.0738713	 TCP 49153 > 1000 ACK Seq=2145 Ack=1 Win=32768
4	1	0.0739185	 TCP 49153 > 1000 ACK Seq=2681 Ack=1 Win=32768
1	0	0.0748713	 TCP 49153 > 1000 ACK Seq=1609 Ack=1 Win=32768
1	0	0.0753433	 TCP 49153 > 1000 ACK Seq=2145 Ack=1 Win=32768
1	0	0.0758153	 TCP 49153 > 1000 ACK Seq=2681 Ack=1 Win=32768
0	2	0.0853433	 TCP 49153 > 1000 ACK Seq=1609 Ack=1 Win=32768
0	2	0.0858153	 TCP 49153 > 1000 ACK Seq=2145 Ack=1 Win=32768
0	2	0.0862873	 TCP 49153 > 1000 ACK Seq=2681 Ack=1 Win=32768
2	0	0.0868625	 TCP 1000 > 49153 ACK Seq=1 Ack=2681 Win=32768
0	1	0.0878669	 TCP 1000 > 49153 ACK Seq=1 Ack=2681 Win=32768
1	4	0.0979101	 TCP 1000 > 49153 ACK Seq=1 Ack=2681 Win=32768
4	1	0.0989144	 TCP 49153 > 1000 ACK Seq=3217 Ack=1 Win=32768
4	1	0.0989616	 TCP 49153 > 1000 ACK Seq=3753 Ack=1 Win=32768
4	1	0.0990088	 TCP 49153 > 1000 ACK Seq=4289 Ack=1 Win=32768
1	0	0.0999616	 TCP 49153 > 1000 ACK Seq=3217 Ack=1 Win=32768
5	1	0.1	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
1	0	0.100434	 TCP 49153 > 1000 ACK Seq=3753 Ack=1 Win=32768
1	0	0.100906	 TCP 49153 > 1000 ACK Seq=4289 Ack=1 Win=32768
1	0	0.101378	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
0	2	0.110434	 TCP 49153 > 1000 ACK Seq=3217 Ack=1 Win=32768
0	2	0.110906	 TCP 49153 > 1000 ACK Seq=3753 Ack=1 Win=32768
0	2	0.111378	 TCP 49153 > 1000 ACK Seq=4289 Ack=1 Win=32768
0	3	0.111424	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
2	0	0.111481	 TCP 1000 > 49153 ACK Seq=1 Ack=3753 Win=32768
2	0	0.112425	 TCP 1000 > 49153 ACK Seq=1 Ack=4825 Win=32768
3	0	0.112429	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
0	1	0.112485	 TCP 1000 > 49153 ACK Seq=1 Ack=3753 Win=32768
0	1	0.113429	 TCP 1000 > 49153 ACK Seq=1 Ack=4825 Win=32768
0	1	0.113472	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
1	4	0.122528	 TCP 1000 > 49153 ACK Seq=1 Ack=3753 Win=32768
1	4	0.123472	 TCP 1000 > 49153 ACK Seq=1 Ack=4825 Win=32768
1	5	0.123519	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
4	1	0.123533	 TCP 49153 > 1000 ACK Seq=4825 Ack=1 Win=32768
4	1	0.12358	 TCP 49153 > 1000 ACK Seq=5361 Ack=1 Win=32768
4	1	0.123627	 TCP 49153 > 1000 ACK Seq=5897 Ack=1 Win=32768
4	1	0.124477	 TCP 49153 > 1000 ACK Seq=6433 Ack=1 Win=32768
5	1	0.124523	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
4	1	0.124524	 TCP 49153 > 1000 ACK Seq=6969 Ack=1 Win=32768
5	1	0.124528	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
4	1	0.124571	 TCP 49153 > 1000 ACK Seq=7505 Ack=1 Win=32768
1	0	0.12458	 TCP 49153 > 1000 ACK Seq=4825 Ack=1 Win=32768
1	0	0.125052	 TCP 49153 > 1000 ACK Seq=5361 Ack=1 Win=32768
1	0	0.125524	 TCP 49153 > 1000 ACK Seq=5897 Ack=1 Win=32768
1	0	0.125996	 TCP 49153 > 1000 ACK Seq=6433 Ack=1 Win=32768
1	0	0.126468	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
1	0	0.126511	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
1	0	0.126557	 TCP 49153 > 1000 ACK Seq=6969 Ack=1 Win=32768
1	0	0.127029	 TCP 49153 > 1000 ACK Seq=7505 Ack=1 Win=32768
0	2	0.135052	 TCP 49153 > 1000 ACK Seq=4825 Ack=1 Win=32768
0	2	0.135524	 TCP 49153 > 1000 ACK Seq=5361 Ack=1 Win=32768
0	2	0.135996	 TCP 49153 > 1000 ACK Seq=5897 Ack=1 Win=32768
0	2	0.136468	 TCP 49153 > 1000 ACK Seq=6433 Ack=1 Win=32768
0	3	0.136511	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
