From Id	To Id	Tx	Meta
21	1	0	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
1	0	0.00100046	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
0	11	0.0510051	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
11	0	0.0520056	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
0	1	0.053006	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
1	21	0.103011	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
21	1	0.104011	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
1	0	0.105012	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
0	11	0.155016	 TCP 49153 > 8080 ACK Seq=1 Ack=1 Win=32768
11	0	0.156016	 UDP 49153 > 8090
11	0	0.156116	 UDP 49153 > 8090
11	0	0.156216	 UDP 49153 > 8090
11	0	0.156316	 UDP 49153 > 8090
11	0	0.156416	 UDP 49153 > 8090
11	0	0.156516	 UDP 49153 > 8090
11	0	0.156616	 UDP 49153 > 8090
11	0	0.156716	 UDP 49153 > 8090
11	0	0.156816	 UDP 49153 > 8090
11	0	0.156916	 UDP 49153 > 8090
11	0	0.157016	 UDP 49153 > 8090
0	1	0.157023	 UDP 49153 > 8090
11	0	0.157116	 UDP 49153 > 8090
0	1	0.157123	 UDP 49153 > 8090
11	0	0.157216	 UDP 49153 > 8090
0	1	0.157223	 UDP 49153 > 8090
11	0	0.157316	 UDP 49153 > 8090
0	1	0.157323	 UDP 49153 > 8090
11	0	0.157416	 UDP 49153 > 8090
0	1	0.157423	 UDP 49153 > 8090
11	0	0.157516	 UDP 49153 > 8090
0	1	0.157523	 UDP 49153 > 8090
11	0	0.157616	 UDP 49153 > 8090
0	1	0.157623	 UDP 49153 > 8090
11	0	0.157716	 UDP 49153 > 8090
0	1	0.157723	 UDP 49153 > 8090
11	0	0.157816	 UDP 49153 > 8090
0	1	0.157823	 UDP 49153 > 8090
11	0	0.157916	 UDP 49153 > 8090
0	1	0.157923	 UDP 49153 > 8090
11	0	0.158016	 UDP 49153 > 8090
0	1	0.158023	 UDP 49153 > 8090
11	0	0.158116	 UDP 49153 > 8090
0	1	0.158123	 UDP 49153 > 8090
11	0	0.158216	 UDP 49153 > 8090
0	1	0.158223	 UDP 49153 > 8090
11	0	0.158316	 UDP 49153 > 8090
0	1	0.158323	 UDP 49153 > 8090
11	0	0.158416	 UDP 49153 > 8090
0	1	0.158423	 UDP 49153 > 8090
11	0	0.158516	 UDP 49153 > 8090
0	1	0.158523	 UDP 49153 > 8090
11	0	0.158616	 UDP 49153 > 8090
0	1	0.158623	 UDP 49153 > 8090
11	0	0.158716	 UDP 49153 > 8090
0	1	0.158723	 UDP 49153 > 8090
11	0	0.158816	 UDP 49153 > 8090
0	1	0.158823	 UDP 49153 > 8090
11	0	0.158916	 UDP 49153 > 8090
0	1	0.158923	 UDP 49153 > 8090
11	0	0.159016	 UDP 49153 > 8090
0	1	0.159023	 UDP 49153 > 8090
11	0	0.159116	 UDP 49153 > 8090
0	1	0.159123	 UDP 49153 > 8090
11	0	0.159216	 UDP 49153 > 8090
0	1	0.159223	 UDP 49153 > 8090
11	0	0.159316	 UDP 49153 > 8090
0	1	0.159323	 UDP 49153 > 8090
11	0	0.159416	 UDP 49153 > 8090
0	1	0.159423	 UDP 49153 > 8090
11	0	0.159516	 UDP 49153 > 8090
0	1	0.159523	 UDP 49153 > 8090
11	0	0.159616	 UDP 49153 > 8090
0	1	0.159623	 UDP 49153 > 8090
11	0	0.159716	 UDP 49153 > 8090
0	1	0.159723	 UDP 49153 > 8090
11	0	0.159816	 UDP 49153 > 8090
0	1	0.159823	 UDP 49153 > 8090
11	0	0.159916	 UDP 49153 > 8090
0	1	0.159923	 UDP 49153 > 8090
11	0	0.160016	 UDP 49153 > 8090
0	1	0.160023	 UDP 49153 > 8090
11	0	0.160116	 UDP 49153 > 8090
0	1	0.160123	 UDP 49153 > 8090
11	0	0.160216	 UDP 49153 > 8090
0	1	0.160223	 UDP 49153 > 8090
11	0	0.160316	 UDP 49153 > 8090
0	1	0.160323	 UDP 49153 > 8090
11	0	0.160416	 UDP 49153 > 8090
0	1	0.160423	 UDP 49153 > 8090
11	0	0.160516	 UDP 49153 > 8090
0	1	0.160523	 UDP 49153 > 8090
11	0	0.160616	 UDP 49153 > 8090
0	1	0.160623	 UDP 49153 > 8090
11	0	0.160716	 UDP 49153 > 8090
0	1	0.160723	 UDP 49153 > 8090
11	0	0.160816	 UDP 49153 > 8090
0	1	0.160823	 UDP 49153 > 8090
11	0	0.160916	 UDP 49153 > 8090
0	1	0.160923	 UDP 49153 > 8090
11	0	0.161016	 UDP 49153 > 8090
0	1	0.161023	 UDP 49153 > 8090
11	0	0.161116	 UDP 49153 > 8090
0	1	0.161123	 UDP 49153 > 8090
11	0	0.161216	 UDP 49153 > 8090
0	1	0.161223	 UDP 49153 > 8090
11	0	0.161316	 UDP 49153 > 8090
0	1	0.161323	 UDP 49153 > 8090
11	0	0.161416	 UDP 49153 > 8090
0	1	0.161423	 UDP 49153 > 8090
11	0	0.161516	 UDP 49153 > 8090
0	1	0.161523	 UDP 49153 > 8090
11	0	0.161616	 UDP 49153 > 8090
0	1	0.161623	 UDP 49153 > 8090
11	0	0.161716	 UDP 49153 > 8090
0	1	0.161723	 UDP 49153 > 8090
11	0	0.161816	 UDP 49153 > 8090
0	1	0.161823	 UDP 49153 > 8090
11	0	0.161916	 UDP 49153 > 8090
0	1	0.161923	 UDP 49153 > 8090
11	0	0.162016	 UDP 49153 > 8090
0	1	0.162023	 UDP 49153 > 8090
11	0	0.162116	 UDP 49153 > 8090
0	1	0.162123	 UDP 49153 > 8090
11	0	0.162216	 UDP 49153 > 8090
0	1	0.162223	 UDP 49153 > 8090
11	0	0.162316	 UDP 49153 > 8090
0	1	0.162323	 UDP 49153 > 8090
11	0	0.162416	 UDP 49153 > 8090
0	1	0.162423	 UDP 49153 > 8090
11	0	0.162516	 UDP 49153 > 8090
0	1	0.162523	 UDP 49153 > 8090
11	0	0.162616	 UDP 49153 > 8090
0	1	0.162623	 UDP 49153 > 8090
11	0	0.162716	 UDP 49153 > 8090
0	1	0.162723	 UDP 49153 > 8090
11	0	0.162816	 UDP 49153 > 8090
0	1	0.162823	 UDP 49153 > 8090
11	0	0.162916	 UDP 49153 > 8090
0	1	0.162923	 UDP 49153 > 8090
11	0	0.163016	 UDP 49153 > 8090
0	1	0.163023	 UDP 49153 > 8090
11	0	0.163116	 UDP 49153 > 8090
0	1	0.163123	 UDP 49153 > 8090
11	0	0.163216	 UDP 49153 > 8090
0	1	0.163223	 UDP 49153 > 8090
11	0	0.163316	 UDP 49153 > 8090
0	1	0.163323	 UDP 49153 > 8090
11	0	0.163416	 UDP 49153 > 8090
0	1	0.163423	 UDP 49153 > 8090
11	0	0.163516	 UDP 49153 > 8090
0	1	0.163523	 UDP 49153 > 8090
11	0	0.163616	 UDP 49153 > 8090
0	1	0.163623	 UDP 49153 > 8090
11	0	0.163716	 UDP 49153 > 8090
0	1	0.163723	 UDP 49153 > 8090
11	0	0.163816	 UDP 49153 > 8090
0	1	0.163823	 UDP 49153 > 8090
11	0	0.163916	 UDP 49153 > 8090
0	1	0.163923	 UDP 49153 > 8090
11	0	0.164016	 UDP 49153 > 8090
0	1	0.164023	 UDP 49153 > 8090
11	0	0.164116	 UDP 49153 > 8090
0	1	0.164123	 UDP 49153 > 8090
11	0	0.164216	 UDP 49153 > 8090
0	1	0.164223	 UDP 49153 > 8090
11	0	0.164316	 UDP 49153 > 8090
0	1	0.164323	 UDP 49153 > 8090
11	0	0.164416	 UDP 49153 > 8090
0	1	0.164423	 UDP 49153 > 8090
11	0	0.164516	 UDP 49153 > 8090
0	1	0.164523	 UDP 49153 > 8090
11	0	0.164616	 UDP 49153 > 8090
0	1	0.164623	 UDP 49153 > 8090
11	0	0.164716	 UDP 49153 > 8090
0	1	0.164723	 UDP 49153 > 8090
11	0	0.164816	 UDP 49153 > 8090
0	1	0.164823	 UDP 49153 > 8090
11	0	0.164916	 UDP 49153 > 8090
0	1	0.164923	 UDP 49153 > 8090
11	0	0.165016	 UDP 49153 > 8090
0	1	0.165023	 UDP 49153 > 8090
11	0	0.165116	 UDP 49153 > 8090
0	1	0.165123	 UDP 49153 > 8090
11	0	0.165216	 UDP 49153 > 8090
0	1	0.165223	 UDP 49153 > 8090
11	0	0.165316	 UDP 49153 > 8090
0	1	0.165323	 UDP 49153 > 8090
11	0	0.165416	 UDP 49153 > 8090
0	1	0.165423	 UDP 49153 > 8090
11	0	0.165516	 UDP 49153 > 8090
0	1	0.165523	 UDP 49153 > 8090
11	0	0.165616	 UDP 49153 > 8090
0	1	0.165623	 UDP 49153 > 8090
11	0	0.165716	 UDP 49153 > 8090
