From Id	To Id	Tx	Meta
5	1	0	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
2	0	0.000416666	 UDP 49153 > 8100
2	0	0.000833332	 UDP 49153 > 8100
1	0	0.00100058	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
2	0	0.00125	 UDP 49153 > 8100
0	1	0.00143169	 UDP 49153 > 8100
2	0	0.00166666	 UDP 49153 > 8100
0	1	0.00184835	 UDP 49153 > 8100
2	0	0.00208333	 UDP 49153 > 8100
0	1	0.00226502	 UDP 49153 > 8100
2	0	0.0025	 UDP 49153 > 8100
0	1	0.00268168	 UDP 49153 > 8100
2	0	0.00291666	 UDP 49153 > 8100
0	1	0.00309835	 UDP 49153 > 8100
2	0	0.00333333	 UDP 49153 > 8100
0	1	0.00351501	 UDP 49153 > 8100
2	0	0.00374999	 UDP 49153 > 8100
0	1	0.00393168	 UDP 49153 > 8100
2	0	0.00416666	 UDP 49153 > 8100
0	1	0.00434835	 UDP 49153 > 8100
2	0	0.00458333	 UDP 49153 > 8100
0	1	0.00476501	 UDP 49153 > 8100
2	0	0.00499999	 UDP 49153 > 8100
0	1	0.00518168	 UDP 49153 > 8100
2	0	0.00541666	 UDP 49153 > 8100
0	1	0.00559835	 UDP 49153 > 8100
2	0	0.00583332	 UDP 49153 > 8100
0	1	0.00601501	 UDP 49153 > 8100
2	0	0.00624999	 UDP 49153 > 8100
0	1	0.00643168	 UDP 49153 > 8100
2	0	0.00666666	 UDP 49153 > 8100
0	1	0.00684834	 UDP 49153 > 8100
2	0	0.00708332	 UDP 49153 > 8100
0	1	0.00726501	 UDP 49153 > 8100
2	0	0.00749999	 UDP 49153 > 8100
0	1	0.00768167	 UDP 49153 > 8100
2	0	0.00791665	 UDP 49153 > 8100
0	1	0.00809834	 UDP 49153 > 8100
2	0	0.00833332	 UDP 49153 > 8100
0	1	0.00851501	 UDP 49153 > 8100
2	0	0.00874999	 UDP 49153 > 8100
0	1	0.00893167	 UDP 49153 > 8100
2	0	0.00916665	 UDP 49153 > 8100
0	1	0.00934834	 UDP 49153 > 8100
2	0	0.00958332	 UDP 49153 > 8100
0	1	0.00976501	 UDP 49153 > 8100
2	0	0.00999998	 UDP 49153 > 8100
0	1	0.0101817	 UDP 49153 > 8100
2	0	0.0104166	 UDP 49153 > 8100
0	1	0.0105983	 UDP 49153 > 8100
2	0	0.0108333	 UDP 49153 > 8100
0	3	0.0110064	 TCP 49153 > 8080 SYN Seq=0 Ack=0 Win=65535
0	1	0.011015	 UDP 49153 > 8100
2	0	0.01125	 UDP 49153 > 8100
0	1	0.0114317	 UDP 49153 > 8100
1	4	0.0115819	 UDP 49153 > 8100
2	0	0.0116666	 UDP 49153 > 8100
0	1	0.0118483	 UDP 49153 > 8100
1	4	0.0119986	 UDP 49153 > 8100
3	0	0.012007	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
2	0	0.0120833	 UDP 49153 > 8100
0	1	0.012265	 UDP 49153 > 8100
1	4	0.0124152	 UDP 49153 > 8100
2	0	0.0125	 UDP 49153 > 8100
0	1	0.0126817	 UDP 49153 > 8100
1	4	0.0128319	 UDP 49153 > 8100
2	0	0.0129166	 UDP 49153 > 8100
0	1	0.0130075	 TCP 8080 > 49153 SYN|ACK Seq=0 Ack=1 Win=65535
0	1	0.0130983	 UDP 49153 > 8100
1	4	0.0132485	 UDP 49153 > 8100
2	0	0.0133333	 UDP 49153 > 8100
0	1	0.013515	 UDP 49153 > 8100
1	4	0.0136652	 UDP 49153 > 8100
2	0	0.01375	 UDP 49153 > 8100
0	1	0.0139317	 UDP 49153 > 8100
1	4	0.0140819	 UDP 49153 > 8100
2	0	0.0141666	 UDP 49153 > 8100
0	1	0.0143483	 UDP 49153 > 8100
1	4	0.0144985	 UDP 49153 > 8100
2	0	0.0145833	 UDP 49153 > 8100
0	1	0.014765	 UDP 49153 > 8100
1	4	0.0149152	 UDP 49153 > 8100
2	0	0.015	 UDP 49153 > 8100
0	1	0.0151817	 UDP 49153 > 8100
1	4	0.0153319	 UDP 49153 > 8100
2	0	0.0154166	 UDP 49153 > 8100
0	1	0.0155983	 UDP 49153 > 8100
1	4	0.0157485	 UDP 49153 > 8100
2	0	0.0158333	 UDP 49153 > 8100
0	1	0.016015	 UDP 49153 > 8100
1	4	0.0161652	 UDP 49153 > 8100
2	0	0.01625	 UDP 49153 > 8100
0	1	0.0164317	 UDP 49153 > 8100
1	4	0.0165819	 UDP 49153 > 8100
2	0	0.0166666	 UDP 49153 > 8100
0	1	0.0168483	 UDP 49153 > 8100
1	4	0.0169985	 UDP 49153 > 8100
2	0	0.0170833	 UDP 49153 > 8100
0	1	0.017265	 UDP 49153 > 8100
1	4	0.0174152	 UDP 49153 > 8100
2	0	0.0175	 UDP 49153 > 8100
0	1	0.0176817	 UDP 49153 > 8100
1	4	0.0178319	 UDP 49153 > 8100
2	0	0.0179166	 UDP 49153 > 8100
0	1	0.0180983	 UDP 49153 > 8100
1	4	0.0182485	 UDP 49153 > 8100
2	0	0.0183333	 UDP 49153 > 8100
0	1	0.018515	 UDP 49153 > 8100
